"experiment","jobId","nodes","procs","sample","problemSize","rank","ioTime","setupTime","computeTime","mpiTime","totalTime"
"baseline","1445521","1","16","1","64","15","0.0","0.003529","0.000317","0.000258","0.003855"
"baseline","1445521","1","16","1","64","13","0.0","0.003531","0.00038","0.00031","0.00392"
"baseline","1445521","1","16","1","64","14","0.0","0.003527","0.000344","0.000278","0.003883"
"baseline","1445521","1","16","1","64","12","0.0","0.003525","0.000417","0.000358","0.003952"
"baseline","1445521","1","16","1","64","11","0.0","0.003521","0.000452","0.000377","0.003984"
"baseline","1445521","1","16","1","64","10","0.0","0.003532","0.000476","0.000413","0.004018"
"baseline","1445521","1","16","1","64","9","0.0","0.003525","0.000509","0.000431","0.004043"
"baseline","1445521","1","16","1","64","8","0.0","0.003526","0.000544","0.000469","0.004078"
"baseline","1445521","1","16","1","64","7","0.0","0.003514","0.000574","0.000512","0.0041"
"baseline","1445521","1","16","1","64","6","0.0","0.003517","0.000722","0.000669","0.004244"
"baseline","1445521","1","16","1","64","5","0.0","0.003525","0.000742","0.000665","0.004275"
"baseline","1445521","1","16","1","64","4","0.0","0.003516","0.000771","0.000704","0.004302"
"baseline","1445521","1","16","1","64","3","0.0","0.003518","0.000808","0.000738","0.004337"
"baseline","1445521","1","16","1","64","2","0.0","0.003515","0.000843","0.000774","0.00437"
"baseline","1445521","1","16","1","64","1","0.0","0.00352","0.000873","0.00081","0.004406"
"baseline","1445521","1","16","1","64","0","0.006279","6.9e-5","0.000901","0.00086","0.00727"
"baseline","1445521","1","16","2","512","15","0.0","0.056308","0.005219","0.002611","0.061529"
"baseline","1445521","1","16","2","512","13","0.0","0.056095","0.005506","0.002983","0.061606"
"baseline","1445521","1","16","2","512","14","0.0","0.056178","0.005362","0.002785","0.061543"
"baseline","1445521","1","16","2","512","12","0.0","0.055984","0.005682","0.003192","0.06167"
"baseline","1445521","1","16","2","512","11","0.0","0.055873","0.005835","0.003427","0.06171"
"baseline","1445521","1","16","2","512","10","0.0","0.055765","0.005988","0.00372","0.061758"
"baseline","1445521","1","16","2","512","9","0.0","0.055656","0.006144","0.003982","0.061804"
"baseline","1445521","1","16","2","512","8","0.0","0.055545","0.006319","0.004298","0.061866"
"baseline","1445521","1","16","2","512","7","0.0","0.055642","0.006488","0.004604","0.062133"
"baseline","1445521","1","16","2","512","6","0.0","0.05555","0.006729","0.005018","0.062282"
"baseline","1445521","1","16","2","512","5","0.0","0.055458","0.006888","0.005377","0.062349"
"baseline","1445521","1","16","2","512","4","0.0","0.055361","0.007042","0.005737","0.062405"
"baseline","1445521","1","16","2","512","3","0.0","0.055261","0.007188","0.006111","0.062452"
"baseline","1445521","1","16","2","512","2","0.0","0.055173","0.007339","0.006516","0.062516"
"baseline","1445521","1","16","2","512","1","0.0","0.055075","0.007494","0.00693","0.062571"
"baseline","1445521","1","16","2","512","0","0.055748","0.001721","0.006021","0.00568","0.064513"
"baseline","1445521","1","16","3","1024","15","0.0","0.216418","0.042932","0.015705","0.259353"
"baseline","1445521","1","16","3","1024","14","0.0","0.216064","0.043332","0.016831","0.2594"
"baseline","1445521","1","16","3","1024","13","0.0","0.215713","0.043753","0.016765","0.259469"
"baseline","1445521","1","16","3","1024","12","0.0","0.215342","0.044226","0.018316","0.259572"
"baseline","1445521","1","16","3","1024","11","0.0","0.214987","0.044668","0.019185","0.259658"
"baseline","1445521","1","16","3","1024","10","0.0","0.214645","0.045101","0.021944","0.259752"
"baseline","1445521","1","16","3","1024","9","0.0","0.21431","0.045548","0.022544","0.259861"
"baseline","1445521","1","16","3","1024","8","0.0","0.213931","0.046082","0.024632","0.260014"
"baseline","1445521","1","16","3","1024","7","0.0","0.213346","0.046555","0.027822","0.259904"
"baseline","1445521","1","16","3","1024","6","0.0","0.213027","0.047016","0.030242","0.260045"
"baseline","1445521","1","16","3","1024","5","0.0","0.212716","0.047455","0.03229","0.260173"
"baseline","1445521","1","16","3","1024","4","0.0","0.212401","0.047914","0.034996","0.260318"
"baseline","1445521","1","16","3","1024","3","0.0","0.212092","0.048386","0.038046","0.260481"
"baseline","1445521","1","16","3","1024","2","0.0","0.211774","0.048859","0.041086","0.260636"
"baseline","1445521","1","16","3","1024","1","0.0","0.211451","0.049347","0.044343","0.260802"
