"experiment","jobId","nodes","procs","sample","problemSize","rank","ioTime","setupTime","computeTime","mpiTime","totalTime"
"baseline",1445521,1,16,3,1024,15,0.0,0.216418,0.042932,0.015705,0.259353
"baseline",1445521,1,16,3,1024,14,0.0,0.216064,0.043332,0.016831,0.2594
"baseline",1445521,1,16,3,1024,13,0.0,0.215713,0.043753,0.016765,0.259469
"baseline",1445521,1,16,3,1024,12,0.0,0.215342,0.044226,0.018316,0.259572
"baseline",1445521,1,16,3,1024,11,0.0,0.214987,0.044668,0.019185,0.259658
"baseline",1445521,1,16,3,1024,10,0.0,0.214645,0.045101,0.021944,0.259752
"baseline",1445521,1,16,3,1024,9,0.0,0.21431,0.045548,0.022544,0.259861
"baseline",1445521,1,16,3,1024,8,0.0,0.213931,0.046082,0.024632,0.260014
"baseline",1445521,1,16,3,1024,7,0.0,0.213346,0.046555,0.027822,0.259904
"baseline",1445521,1,16,3,1024,6,0.0,0.213027,0.047016,0.030242,0.260045
"baseline",1445521,1,16,3,1024,5,0.0,0.212716,0.047455,0.03229,0.260173
"baseline",1445521,1,16,3,1024,4,0.0,0.212401,0.047914,0.034996,0.260318
"baseline",1445521,1,16,3,1024,3,0.0,0.212092,0.048386,0.038046,0.260481
"baseline",1445521,1,16,3,1024,2,0.0,0.211774,0.048859,0.041086,0.260636
"baseline",1445521,1,16,3,1024,1,0.0,0.211451,0.049347,0.044343,0.260802
"baseline",1445521,1,16,3,1024,0,0.210345,0.00543,0.044527,0.04234,0.263381
"baseline",1445536,1,16,3,1024,15,0.0,0.217333,0.043149,0.015892,0.260484
"baseline",1445536,1,16,3,1024,14,0.0,0.21697,0.043553,0.016814,0.260526
"baseline",1445536,1,16,3,1024,13,0.0,0.216623,0.043968,0.016911,0.260593
"baseline",1445536,1,16,3,1024,12,0.0,0.21627,0.044425,0.017897,0.260698
"baseline",1445536,1,16,3,1024,11,0.0,0.215916,0.044865,0.020081,0.260782
"baseline",1445536,1,16,3,1024,10,0.0,0.21557,0.045301,0.021098,0.260874
"baseline",1445536,1,16,3,1024,9,0.0,0.215231,0.045748,0.022969,0.260985
"baseline",1445536,1,16,3,1024,8,0.0,0.214895,0.046249,0.024771,0.261147
"baseline",1445536,1,16,3,1024,7,0.0,0.21452,0.046733,0.027927,0.261256
"baseline",1445536,1,16,3,1024,6,0.0,0.214209,0.047183,0.030124,0.261394
"baseline",1445536,1,16,3,1024,5,0.0,0.213886,0.047626,0.032544,0.261515
"baseline",1445536,1,16,3,1024,4,0.0,0.213569,0.04808,0.035118,0.261651
"baseline",1445536,1,16,3,1024,3,0.0,0.213256,0.048557,0.037989,0.261816
"baseline",1445536,1,16,3,1024,2,0.0,0.212938,0.049034,0.041213,0.261975
"baseline",1445536,1,16,3,1024,1,0.0,0.212616,0.049524,0.044469,0.262142
"baseline",1445536,1,16,3,1024,0,0.212839,0.005417,0.044729,0.042517,0.266058
"baseline",1445537,1,16,3,1024,15,0.0,0.216634,0.043384,0.016728,0.260026
"baseline",1445537,1,16,3,1024,14,0.0,0.21628,0.043791,0.016752,0.260076
"baseline",1445537,1,16,3,1024,13,0.0,0.215929,0.044208,0.017382,0.260141
"baseline",1445537,1,16,3,1024,12,0.0,0.215563,0.04467,0.018208,0.260238
"baseline",1445537,1,16,3,1024,11,0.0,0.21521,0.045134,0.019588,0.260352
"baseline",1445537,1,16,3,1024,10,0.0,0.214868,0.0456,0.021361,0.260476
"baseline",1445537,1,16,3,1024,9,0.0,0.214522,0.046045,0.023406,0.260571
"baseline",1445537,1,16,3,1024,8,0.0,0.214155,0.046516,0.025416,0.260673
"baseline",1445537,1,16,3,1024,7,0.0,0.213833,0.046988,0.028307,0.260829
"baseline",1445537,1,16,3,1024,6,0.0,0.213515,0.047441,0.030274,0.260959
