"variable","value","procs"
"mpiTime",0.015705,16
"mpiTime",0.016831,16
"mpiTime",0.016765,16
"mpiTime",0.018316,16
"mpiTime",0.019185,16
"mpiTime",0.021944,16
"mpiTime",0.022544,16
"mpiTime",0.024632,16
"mpiTime",0.027822,16
"mpiTime",0.030242,16
"mpiTime",0.03229,16
"mpiTime",0.034996,16
"mpiTime",0.038046,16
"mpiTime",0.041086,16
"mpiTime",0.044343,16
"mpiTime",0.04234,16
"mpiTime",0.015892,16
"mpiTime",0.016814,16
"mpiTime",0.016911,16
"mpiTime",0.017897,16
"mpiTime",0.020081,16
"mpiTime",0.021098,16
"mpiTime",0.022969,16
"mpiTime",0.024771,16
"mpiTime",0.027927,16
"mpiTime",0.030124,16
"mpiTime",0.032544,16
"mpiTime",0.035118,16
"mpiTime",0.037989,16
"mpiTime",0.041213,16
"mpiTime",0.044469,16
"mpiTime",0.042517,16
"mpiTime",0.016728,16
"mpiTime",0.016752,16
"mpiTime",0.017382,16
"mpiTime",0.018208,16
"mpiTime",0.019588,16
"mpiTime",0.021361,16
"mpiTime",0.023406,16
"mpiTime",0.025416,16
"mpiTime",0.028307,16
"mpiTime",0.030274,16
"mpiTime",0.032733,16
"mpiTime",0.035212,16
"mpiTime",0.038161,16
"mpiTime",0.041259,16
"mpiTime",0.044663,16
"mpiTime",0.042777,16
"mpiTime",0.015714,16
"mpiTime",0.016326,16
"mpiTime",0.016806,16
"mpiTime",0.019236,16
"mpiTime",0.019352,16
"mpiTime",0.020858,16
"mpiTime",0.022654,16
"mpiTime",0.024918,16
"mpiTime",0.027835,16
"mpiTime",0.030211,16
"mpiTime",0.032361,16
"mpiTime",0.034877,16
"mpiTime",0.037653,16
"mpiTime",0.041068,16
"mpiTime",0.044419,16
"mpiTime",0.042405,16
"mpiTime",0.015634,16
"mpiTime",0.016968,16
"mpiTime",0.01794,16
"mpiTime",0.018416,16
"mpiTime",0.019442,16
"mpiTime",0.021584,16
"mpiTime",0.022988,16
"mpiTime",0.024861,16
"mpiTime",0.02799,16
"mpiTime",0.03031,16
"mpiTime",0.032748,16
"mpiTime",0.03534,16
"mpiTime",0.037868,16
"mpiTime",0.041224,16
"mpiTime",0.044464,16
"mpiTime",0.042551,16
"mpiTime",0.032459,8
"mpiTime",0.033646,8
"mpiTime",0.037652,8
"mpiTime",0.043975,8
"mpiTime",0.052084,8
"mpiTime",0.060866,8
"mpiTime",0.071564,8
"mpiTime",0.078605,8
"mpiTime",0.031624,8
"mpiTime",0.034061,8
