"procs","variable","value_mean","value_var","value_minimum","value_maximum"
8,"computeTime",0.0876424,2.9436761948717952e-6,0.085105,0.09066
8,"mpiTime",0.051390475000000005,0.00027816857097371793,0.031624,0.078878
8,"totalTime",0.30151615000000004,7.438681720512794e-6,0.297398,0.307379
16,"computeTime",0.046165975,3.895189771518987e-6,0.042932,0.049789
16,"mpiTime",0.0280583625,9.268811671503165e-5,0.015634,0.044663
16,"totalTime",0.26132662500000003,2.1837714272151912e-6,0.259353,0.266503
32,"computeTime",0.029150106249999995,1.147550008297956e-5,0.023173,0.034945
32,"mpiTime",0.021548831249999997,3.940906492102987e-5,0.012051,0.033668
32,"totalTime",0.26388208125,0.0015560444042009042,0.2155,0.382581
64,"computeTime",0.963020421875,0.00010909318105970811,0.939101,0.982894
64,"mpiTime",0.959180671875,0.00012546901040923786,0.933292,0.98244
64,"totalTime",1.4168080375000005,0.04063213056991708,1.301944,1.823914
