"experiment","jobId","nodes","procs","sample","problemSize","rank","ioTime","setupTime","computeTime","mpiTime","totalTime"
"baseline",1445522,2,32,1,64,31,0.0,3.7e-5,0.000759,0.000632,0.000799
"baseline",1445522,2,32,1,64,30,0.0,3.7e-5,0.003698,0.003575,0.003739
"baseline",1445522,2,32,1,64,29,0.0,3.4e-5,0.007683,0.007567,0.007721
"baseline",1445522,2,32,1,64,28,0.0,3.6e-5,0.012961,0.012849,0.013001
"baseline",1445522,2,32,1,64,27,0.0,3.7e-5,0.016708,0.016593,0.016747
"baseline",1445522,2,32,1,64,26,0.0,0.004066,0.021558,0.021444,0.025628
"baseline",1445522,2,32,1,64,25,0.0,0.017692,0.021633,0.021505,0.039329
"baseline",1445522,2,32,1,64,24,0.0,0.02704,0.021716,0.021604,0.04876
"baseline",1445522,2,32,1,64,23,0.0,0.038226,0.021784,0.02166,0.060012
"baseline",1445522,2,32,1,64,22,0.0,0.045514,0.021936,0.021816,0.067454
"baseline",1445522,2,32,1,64,21,0.0,0.056795,0.022004,0.021881,0.078802
"baseline",1445522,2,32,1,64,20,0.0,0.065021,0.022076,0.021949,0.087102
"baseline",1445522,2,32,1,64,19,0.0,0.079215,0.022149,0.022027,0.101367
"baseline",1445522,2,32,1,64,18,0.0,0.090897,0.022218,0.022104,0.113118
"baseline",1445522,2,32,1,64,17,0.0,0.102233,0.022291,0.022177,0.124527
"baseline",1445522,2,32,1,64,16,0.0,0.116875,0.022368,0.022259,0.13925
"baseline",1445522,2,32,1,64,15,0.0,4.7e-5,0.011611,0.011486,0.011662
"baseline",1445522,2,32,1,64,14,0.0,5.1e-5,0.018218,0.018077,0.018271
"baseline",1445522,2,32,1,64,13,0.0,0.018075,0.022585,0.022452,0.040664
"baseline",1445522,2,32,1,64,12,0.0,4.7e-5,0.003133,0.002993,0.003183
"baseline",1445522,2,32,1,64,11,0.0,4.7e-5,0.006867,0.00675,0.006917
"baseline",1445522,2,32,1,64,10,0.0,4.9e-5,0.013773,0.013638,0.013827
"baseline",1445522,2,32,1,64,9,0.0,4.8e-5,0.01028,0.010137,0.010332
"baseline",1445522,2,32,1,64,8,0.0,4.7e-5,0.008518,0.008353,0.008568
"baseline",1445522,2,32,1,64,7,0.0,4.7e-5,0.005722,0.005615,0.005771
"baseline",1445522,2,32,1,64,6,0.0,4.4e-5,0.004614,0.004492,0.004661
"baseline",1445522,2,32,1,64,5,0.0,0.001119,0.023236,0.023098,0.024358
"baseline",1445522,2,32,1,64,4,0.0,8.0e-5,0.021308,0.02119,0.021391
"baseline",1445522,2,32,1,64,3,0.0,4.7e-5,0.002865,0.002737,0.002915
"baseline",1445522,2,32,1,64,2,0.0,0.001139,0.023455,0.023397,0.024597
"baseline",1445522,2,32,1,64,1,0.0,8.4e-5,0.016474,0.016413,0.016561
"baseline",1445522,2,32,1,64,0,0.005688,0.000247,0.023495,0.023442,0.029463
"baseline",1445522,2,32,2,512,31,0.0,0.033222,0.006376,0.005028,0.039601
"baseline",1445522,2,32,2,512,30,0.0,0.035526,0.006458,0.005112,0.041987
"baseline",1445522,2,32,2,512,29,0.0,0.039159,0.006547,0.005188,0.045709
"baseline",1445522,2,32,2,512,28,0.0,0.044132,0.006653,0.005307,0.050788
"baseline",1445522,2,32,2,512,27,0.0,0.049816,0.006739,0.005415,0.056558
"baseline",1445522,2,32,2,512,26,0.0,0.060408,0.006823,0.005501,0.067236
"baseline",1445522,2,32,2,512,25,0.0,0.070878,0.006904,0.005585,0.077786
"baseline",1445522,2,32,2,512,24,0.0,0.078929,0.007008,0.005714,0.085941
"baseline",1445522,2,32,2,512,23,0.0,0.095154,0.007098,0.005811,0.102256
"baseline",1445522,2,32,2,512,22,0.0,0.104952,0.007265,0.005994,0.112219
"baseline",1445522,2,32,2,512,21,0.0,0.112631,0.00734,0.00611,0.119974
"baseline",1445522,2,32,2,512,20,0.0,0.122391,0.007437,0.00624,0.129829
"baseline",1445522,2,32,2,512,19,0.0,0.130556,0.007529,0.006366,0.138087
"baseline",1445522,2,32,2,512,18,0.0,0.141598,0.007627,0.006497,0.149228
"baseline",1445522,2,32,2,512,17,0.0,0.156615,0.007708,0.006609,0.164325
"baseline",1445522,2,32,2,512,16,0.0,0.172618,0.007804,0.006728,0.180427
"baseline",1445522,2,32,2,512,15,0.0,0.047725,0.007938,0.006923,0.055665
"baseline",1445522,2,32,2,512,14,0.0,0.042561,0.008089,0.007111,0.050654
"baseline",1445522,2,32,2,512,13,0.0,0.044853,0.008233,0.007313,0.05309
"baseline",1445522,2,32,2,512,12,0.0,0.033684,0.008399,0.007519,0.042087
"baseline",1445522,2,32,2,512,11,0.0,0.032676,0.008548,0.007715,0.041227
"baseline",1445522,2,32,2,512,10,0.0,0.050235,0.008694,0.007898,0.058934
"baseline",1445522,2,32,2,512,9,0.0,0.038642,0.008842,0.008109,0.047486
"baseline",1445522,2,32,2,512,8,0.0,0.040272,0.009006,0.008339,0.049281
"baseline",1445522,2,32,2,512,7,0.0,0.03571,0.009167,0.008545,0.04488
"baseline",1445522,2,32,2,512,6,0.0,0.052977,0.009368,0.008814,0.062347
"baseline",1445522,2,32,2,512,5,0.0,0.037006,0.009505,0.009008,0.046514
"baseline",1445522,2,32,2,512,4,0.0,0.066951,0.009653,0.009229,0.076609
"baseline",1445522,2,32,2,512,3,0.0,0.061584,0.009793,0.009429,0.071379
"baseline",1445522,2,32,2,512,2,0.0,0.059333,0.00993,0.009635,0.069264
"baseline",1445522,2,32,2,512,1,0.0,0.033987,0.010061,0.009839,0.04405
"baseline",1445522,2,32,2,512,0,0.056572,0.001374,0.008978,0.008809,0.067966
"baseline",1445522,2,32,3,1024,31,0.0,0.192326,0.023173,0.012248,0.2155
"baseline",1445522,2,32,3,1024,30,0.0,0.19468,0.023532,0.012715,0.218215
