"variable","value","problemSize"
"mpiTime",0.000632,64
"mpiTime",0.003575,64
"mpiTime",0.007567,64
"mpiTime",0.012849,64
"mpiTime",0.016593,64
"mpiTime",0.021444,64
"mpiTime",0.021505,64
"mpiTime",0.021604,64
"mpiTime",0.02166,64
"mpiTime",0.021816,64
"mpiTime",0.021881,64
"mpiTime",0.021949,64
"mpiTime",0.022027,64
"mpiTime",0.022104,64
"mpiTime",0.022177,64
"mpiTime",0.022259,64
"mpiTime",0.011486,64
"mpiTime",0.018077,64
"mpiTime",0.022452,64
"mpiTime",0.002993,64
"mpiTime",0.00675,64
"mpiTime",0.013638,64
"mpiTime",0.010137,64
"mpiTime",0.008353,64
"mpiTime",0.005615,64
"mpiTime",0.004492,64
"mpiTime",0.023098,64
"mpiTime",0.02119,64
"mpiTime",0.002737,64
"mpiTime",0.023397,64
"mpiTime",0.016413,64
"mpiTime",0.023442,64
"mpiTime",0.005028,512
"mpiTime",0.005112,512
"mpiTime",0.005188,512
"mpiTime",0.005307,512
"mpiTime",0.005415,512
"mpiTime",0.005501,512
"mpiTime",0.005585,512
"mpiTime",0.005714,512
"mpiTime",0.005811,512
"mpiTime",0.005994,512
"mpiTime",0.00611,512
"mpiTime",0.00624,512
"mpiTime",0.006366,512
"mpiTime",0.006497,512
"mpiTime",0.006609,512
"mpiTime",0.006728,512
"mpiTime",0.006923,512
"mpiTime",0.007111,512
"mpiTime",0.007313,512
"mpiTime",0.007519,512
"mpiTime",0.007715,512
"mpiTime",0.007898,512
"mpiTime",0.008109,512
"mpiTime",0.008339,512
"mpiTime",0.008545,512
"mpiTime",0.008814,512
"mpiTime",0.009008,512
"mpiTime",0.009229,512
"mpiTime",0.009429,512
"mpiTime",0.009635,512
"mpiTime",0.009839,512
"mpiTime",0.008809,512
"mpiTime",0.012248,1024
"mpiTime",0.012715,1024
"mpiTime",0.013233,1024
"mpiTime",0.013218,1024
"mpiTime",0.013664,1024
"mpiTime",0.014634,1024
"mpiTime",0.014788,1024
"mpiTime",0.015526,1024
"mpiTime",0.016066,1024
"mpiTime",0.017052,1024
"mpiTime",0.016852,1024
"mpiTime",0.018031,1024
"mpiTime",0.01813,1024
"mpiTime",0.019198,1024
"mpiTime",0.020271,1024
"mpiTime",0.020102,1024
"mpiTime",0.021964,1024
"mpiTime",0.022413,1024
"mpiTime",0.02311,1024
