"problemSize","variable","value_mean","value_var","value_minimum","value_maximum"
64,"computeTime",0.009868037500000001,6.266522116839623e-5,0.000434,0.025987
64,"mpiTime",0.009758825000000002,6.278822907610064e-5,0.000354,0.025925
64,"totalTime",0.10170975625,0.01825019012261317,0.000473,0.459993
512,"computeTime",0.00803399375,1.2280650754323898e-6,0.006313,0.010077
512,"mpiTime",0.007092956250000002,2.1745355389544025e-6,0.004963,0.009859
512,"totalTime",0.07882062499999999,0.001459451147279874,0.039601,0.183135
1024,"computeTime",0.029150106249999995,1.147550008297956e-5,0.023173,0.034945
1024,"mpiTime",0.021548831249999997,3.940906492102987e-5,0.012051,0.033668
1024,"totalTime",0.26388208125,0.0015560444042009042,0.2155,0.382581
2048,"computeTime",0.19137336249999998,7.723865351556604e-5,0.176902,0.206625
2048,"mpiTime",0.11775708124999998,0.0016158039438990172,0.067339,0.195746
2048,"totalTime",1.24122205625,0.04968110507344964,1.017332,1.661681
4096,"computeTime",2.9462077312499995,0.026664497054537373,2.747035,3.292421
4096,"mpiTime",1.295195075,0.7109509784340069,0.20514,3.210185
4096,"totalTime",7.042412518749998,0.21006601986743362,6.571325,7.985673
8192,"computeTime",29.49011709375,0.0821205057506893,29.092532,30.02982
8192,"mpiTime",11.767630124999998,85.0530551803007,1.174332,29.550917
8192,"totalTime",44.763212518749995,2.418148513897359,43.111059,47.261014
